lib_dren,nombre_etablissements,total_inscrits,total_presents,total_admis,taux_reel_reussite
ABIDJAN 1,158,16932,16720,8096,48.421052631578945
YAMOUSSOUKRO,73,9671,9558,4292,44.90479179744716
GRAND BASSAM,36,4232,4178,1847,44.2077549066539
FERKESSEDOUGOU,17,3200,3160,1162,36.77215189873418
AGBOVILLE,32,4851,4763,1699,35.67079571698509
BOUAKE 2,58,10791,10660,3797,35.61913696060037
KATIOLA,22,3420,3372,1196,35.468564650059314
BOUAKE 1,36,5228,5212,1827,35.05372217958557
KORHOGO,59,9430,9390,3242,34.52609158679446
DABOU,42,5114,5112,1738,33.99843505477308
ABENGOUROU,39,6819,6772,2197,32.44240992321323
ABIDJAN 4,218,38370,38126,12240,32.10407595866338
ABOISSO,27,4903,4857,1542,31.747992588017294
BONDOUKOU,51,6285,6211,1949,31.379810014490424
TIASSALE,28,3873,3822,1195,31.26635269492412
ABIDJAN 3,283,37783,36782,11449,31.12663802947094
ADZOPE,39,6018,5962,1841,30.878899698087892
DAOUKRO,27,3851,3807,1128,29.629629629629626
SOUBRE,58,9878,9708,2795,28.790688092295014
SINFRA,20,3263,3234,931,28.78787878787879
ODIENNE,12,1338,1312,374,28.506097560975608
ABIDJAN 2,141,30548,29218,8179,27.99301800260114
BOUNDIALI,18,3467,3430,942,27.463556851311953
ISSIA,22,3664,3582,981,27.386934673366838
SEGUELA,13,1205,1179,321,27.2264631043257
DIVO,63,11835,11685,3125,26.743688489516476
BOUNA,7,950,937,249,26.57417289220918
DIMBOKRO,12,2661,2612,680,26.033690658499236
MAN,45,7833,7697,1999,25.971157593867737
TOUBA,5,537,530,137,25.849056603773583
BONGOUANOU,34,4913,4795,1211,25.255474452554743
SASSANDRA,15,2495,2466,611,24.77696674776967
SAN-PEDRO,58,10040,9866,2428,24.609770930468276
DALOA,111,16771,16412,4031,24.56129661223495
DANANE,15,3292,3235,778,24.049459041731065
MANKONO,16,1618,1579,376,23.812539582013933
GUIGLO,25,3563,3466,783,22.59088286208886
GAGNOA,64,11568,11359,2493,21.947354520644424
BOUAFLE,37,7554,7370,1513,20.529172320217096
DUEKOUE,36,5614,5546,1042,18.78831590335377
MINIGNAN,4,167,165,30,18.181818181818183
