annee,niveau,etablissements,eleves,enseignants
2010-2011,Primaire,11638.0,2704458,65228.0
2011-2012,Primaire,12482.0,2920791,70016.0
2012-2013,Primaire,12916.0,3021417,73691.0
2013-2014,Primaire,13785.0,3176874,74703.0
2014-2015,Primaire,14857.0,3370558,80155.0
2015-2016,Primaire,15547.0,3617219,85109.0
2016-2017,Primaire,16324.0,3772136,88900.0
2017-2018,Primaire,16957.0,3900222,93257.0
2018-2019,Primaire,17615.0,4003884,96255.0
2019-2020,Primaire,18258.0,4101430,101085.0
2020-2021,Primaire,18757.0,4102825,100263.0
2021-2022,Primaire,19132.0,4252503,101670.0
2024-2025,Primaire,20475.0,5056647,107333.0
2008-2009,Secondaire,829.0,929606,28581.0
2010-2011,Secondaire,1206.0,1126835,26793.0
2012-2013,Secondaire,,1215672,
2013-2014,Secondaire,,1321556,
2014-2015,Secondaire,1373.0,1479005,
2015-2016,Secondaire,1479.0,1621874,
2016-2017,Secondaire,1641.0,1791183,
2017-2018,Secondaire,1778.0,1923763,
2018-2019,Secondaire,2019.0,2110499,
2019-2020,Secondaire,2331.0,1711369,
2020-2021,Secondaire,2737.0,1846903,
2023-2024,Secondaire,3901.0,3214615,98186.0
